Employer,Title,Salary,Location,Start Date
AYASDI INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",10/20/2014
FACEBOOK INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",11/17/2014
BANJO INC,DATA SCIENTIST,"130,000","REDWOOD CITY, CA",11/24/2014
UDACITY INC,DATA SCIENTIST,"130,000","MOUNTAIN VIEW, CA",12/15/2014
POINT72 ASSET MANAGEMENT LP,DATA SCIENTIST,"130,000","NEW YORK, NY",11/27/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/3/2015
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/3/2015
AIRBNB INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/1/2015
ZOCDOC INC,DATA SCIENTIST,"130,000","NEW YORK, NY",8/25/2015
QUID INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/22/2015
WAL-MART ASSOCIATES INC,DATA SCIENTIST,"130,000","SUNNYVALE, CA",8/24/2015
FACEBOOK INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",3/9/2015
LEEO INC,DATA SCIENTIST,"130,000","PALO ALTO, CA",8/24/2015
FACEBOOK INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",3/23/2015
AIRBNB INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",4/1/2015
VECTRA NETWORKS INC,DATA SCIENTIST,"130,000","SAN JOSE, CA",9/15/2015
DEALER DOT COM INC,DATA SCIENTIST,"130,000","EDISON, NJ",7/6/2015
ROKU INC,DATA SCIENTIST,"130,000","NEW YORK, NY",6/8/2015
VECTRA NETWORKS INC,DATA SCIENTIST,"130,000","SAN JOSE, CA",10/1/2015
HUAMI INC,DATA SCIENTIST,"130,000","SUNNYVALE, CA",10/26/2015
AIRBNB INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",10/5/2015
FACEBOOK INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",1/6/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/20/2014
HELLO INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",2/1/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/29/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/29/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/8/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/6/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/29/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",7/29/2014
SUPPLY FRAME INC,DATA SCIENTIST,"130,000","PASADENA, CA",8/31/2014
FACEBOOK INC,DATA SCIENTIST,"130,000","MENLO PARK, CA",8/18/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",9/1/2014
TWITTER INC,DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",9/11/2014
PRACTICE FUSION INC,DATA SCIENTIST (STATISTICIAN),"130,000","SAN FRANCISCO, CA",8/16/2018
BAIDU USA LLC,DATA SCIENTIST - BIG DATA,"130,000","SUNNYVALE, CA",5/26/2014
WAL-MART ASSOCIATES INC,DATA SCIENTIST - GEC,"130,000","SAN BRUNO, CA",8/24/2017
SONY INTERACTIVE ENTERTAINMENT LLC,DATA SCIENTIST - GLOBAL FRAUD MANAGEMENT,"130,000","SAN DIEGO, CA",9/7/2018
EBAY INC,DATA SCIENTIST 1,"130,000","SAN JOSE, CA",5/20/2017
EBAY INC,DATA SCIENTIST 1,"130,000","SAN JOSE, CA",7/31/2017
EBAY INC,DATA SCIENTIST 1,"130,000","SAN JOSE, CA",8/6/2016
EBAY INC,DATA SCIENTIST 1,"130,000","SAN JOSE, CA",8/12/2015
EBAY INC,DATA SCIENTIST 1,"130,000","SAN JOSE, CA",8/12/2015
GOOGLE LLC,DATA SCIENTIST 1615.38577,"130,000","MOUNTAIN VIEW, CA",4/12/2018
MICROSOFT CORPORATION,DATA SCIENTIST 2,"130,000","REDMOND, WA",8/20/2018
PHARMACEUTICAL RESEARCH ASSOCIATES INC,DATA SCIENTIST 2,"130,000","LENEXA, KS",4/14/2018
ALTISOURCE SOLUTIONS INC,DATA SCIENTIST AND MODEL BUILDER,"130,000","BOSTON, MA",9/12/2018
TWITTER INC,DATA SCIENTIST I,"130,000","SAN FRANCISCO, CA",8/7/2018
AUDIBLE INC,DATA SCIENTIST II,"130,000","NEWARK, NJ",9/21/2018
ELLIE MAE INC,DATA SCIENTIST II,"130,000","PLEASANTON, CA",9/3/2018
GRUBHUB HOLDINGS INC,DATA SCIENTIST II,"130,000","NEW YORK, NY",8/13/2018
PHARMACEUTICAL RESEARCH ASSOCIATES INC,DATA SCIENTIST II,"130,000","LENEXA, KS",6/27/2016
ACCOLADE INC,DATA SCIENTIST III,"130,000","SEATTLE, WA",7/21/2018
FACEBOOK INC,"DATA SCIENTIST, ANALYTICS","130,000","NEW YORK, NY",10/31/2016
FACEBOOK INC,"DATA SCIENTIST, ANALYTICS","130,000","MENLO PARK, CA",1/4/2016
FACEBOOK INC,"DATA SCIENTIST, ANALYTICS","130,000","MENLO PARK, CA",9/22/2014
FACEBOOK INC,"DATA SCIENTIST, ANALYTICS","130,000","MENLO PARK, CA",4/28/2014
ADS ALLIANCE DATA SYSTEMS INC,"DATA SCIENTIST, PREDICTIVE ANALYTICS","130,000","AKRON, OH",6/12/2018
WAL-MART ASSOCIATES INC,DATA SCIENTIST- ANTI- FRAUD,"130,000","SUNNYVALE, CA",8/8/2017
SIMONS FOUNDATION,ASSOCIATE DATA SCIENTIST,"130,000","NEW YORK, NY",8/13/2018
WESTROCK SERVICES INC,SENIOR DATA SCIENTIST,"130,000","ATLANTA, GA",4/1/2018
PINN TECHNOLOGIES INC,SENIOR DATA SCIENTIST,"130,000","REDWOOD CITY, CA",11/10/2017
CIRCLE UP NETWORK INC,SENIOR DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",10/2/2017
PINN TECHNOLOGIES INC,SENIOR DATA SCIENTIST,"130,000","ATLANTA, GA",11/16/2017
STASH FINANCIAL INC,SENIOR DATA SCIENTIST,"130,000","NEW YORK, NY",10/8/2018
WAL-MART ASSOCIATES INC,SENIOR DATA SCIENTIST,"130,000","BENTONVILLE, AR",4/16/2018
AFFINITY SOLUTIONS INC,SENIOR DATA SCIENTIST,"130,000","NEW YORK, NY",10/30/2018
TRADESHIFT INC,SENIOR DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",10/31/2016
GENSCAPE INC,SENIOR DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/17/2017
XAD INC,SENIOR DATA SCIENTIST,"130,000","MOUNTAIN VIEW, CA",4/3/2017
GLEN ROAD SYSTEMS INC,SENIOR DATA SCIENTIST,"130,000","TEWKSBURY, MA",4/17/2017
PARTNERS INFORMATION TECHNOLOGY INC,SENIOR DATA SCIENTIST,"130,000","PLANO, TX",5/1/2017
GLEN ROAD SYSTEMS INC,SENIOR DATA SCIENTIST,"130,000","BURLINGTON, MA",6/27/2017
MAXIM INTEGRATED PRODUCTS INC,SENIOR DATA SCIENTIST,"130,000","SAN JOSE, CA",7/17/2017
YIELDMO INC,SENIOR DATA SCIENTIST,"130,000","NEW YORK, NY",8/18/2017
SUFFOLK CONSTRUCTION COMPANY INC,SENIOR DATA SCIENTIST,"130,000","BOSTON, MA",11/6/2017
WP COMPANY LLC,SENIOR DATA SCIENTIST,"130,000","WASHINGTON, DC",12/1/2017
DSTILLERY INC,SENIOR DATA SCIENTIST,"130,000","NEW YORK, NY",5/20/2016
BLIZZARD ENTERTAINMENT INC,SENIOR DATA SCIENTIST,"130,000","IRVINE, CA",9/1/2016
PREDICTIX LLC,SENIOR DATA SCIENTIST,"130,000","ATLANTA, GA",2/10/2016
RAPID7 LLC,SENIOR DATA SCIENTIST,"130,000","CAMBRIDGE, MA",2/29/2016
GENERAL ELECTRIC COMPANY,SENIOR DATA SCIENTIST,"130,000","SAN RAMON, CA",9/15/2016
THE GAP INC,SENIOR DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",9/1/2016
INFOR (US) INC,SENIOR DATA SCIENTIST,"130,000","COLUMBUS, IN",10/1/2016
FV USA LLC,SENIOR DATA SCIENTIST,"130,000","PALO ALTO, CA",7/4/2016
FV USA LLC,SENIOR DATA SCIENTIST,"130,000","PALO ALTO, CA",7/11/2016
KOHL'S DEPARTMENT STORES INC,SENIOR DATA SCIENTIST,"130,000","MILPITAS, CA",10/3/2016
HARVARD PILGRIM HEALTH CARE,SENIOR DATA SCIENTIST,"130,000","WELLESLEY, MA",9/19/2016
INTREXON CORPORATION,SENIOR DATA SCIENTIST,"130,000","POWAY, CA",10/10/2016
COLLECTIVE MEDIA INC,SENIOR DATA SCIENTIST,"130,000","NEW YORK, NY",10/1/2014
TWITTER INC,SENIOR DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",8/21/2015
NCS TECHNOLOGIES INC,SENIOR DATA SCIENTIST,"130,000","BEDMINSTER, NJ",9/30/2015
NOVEDEA SYSTEMS INC,SENIOR DATA SCIENTIST,"130,000","BOSTON, MA",7/11/2015
NOVEDEA SYSTEMS INC,SENIOR DATA SCIENTIST,"130,000","BOSTON, MA",7/15/2015
ISOFTSTONE INC,SENIOR DATA SCIENTIST,"130,000","KIRKLAND, WA",9/1/2014
UA CONNECTED FITNESS INC,"SENIOR DATA SCIENTIST, DATA ENGINEERING","130,000","SAN FRANCISCO, CA",8/1/2018
MAPLEBEAR INC,"SENIOR DATA SCIENTIST, LOGISTICS","130,000","SAN FRANCISCO, CA",7/16/2018
AETNA RESOURCES LLC,SR. DATA SCIENTIST,"130,000","NEW YORK, NY",2/22/2018
AETNA RESOURCES LLC,SR. DATA SCIENTIST,"130,000","BURLINGTON, MA",8/9/2018
CBRE INC,SR. DATA SCIENTIST,"130,000","NEW YORK, NY",9/13/2018
INTELLECT DESIGN ARENA INC,SR. DATA SCIENTIST,"130,000","PISCATAWAY, NJ",7/3/2018
VIZIO INSCAPE TECHNOLOGIES LLC,SR. DATA SCIENTIST,"130,000","SAN FRANCISCO, CA",2/1/2016
MAXPOINT INTERACTIVE INC,SR. DATA SCIENTIST,"130,000","MORRISVILLE, NC",6/13/2014
NATERA INC,SR. DATA SCIENTIST- ALGORITHM DEVELOPMENT,"130,000","SAN CARLOS, CA",5/15/2014
WP COMPANY LLC,LEAD DATA SCIENTIST,"130,000","WASHINGTON, DC",12/1/2017
HAAVE INC,LEAD DATA SCIENTIST,"130,000","DENVER, CO",8/14/2017
BLACKHAWK NETWORK INC,LEAD DATA SCIENTIST/ANALYST,"130,000","SAN FRANCISCO, CA",8/31/2015
WAJAO INC,MACHINE LEARNING DATA SCIENTIST,"130,000","SANTA MONICA, CA",9/5/2018
APPLE INC,MACHINE LEARNING ENG,"130,000","CUPERTINO, CA",12/26/2016
SUNING COMMERCE R&D CENTER USA INC,MACHINE LEARNING ENGINEER,"130,000","PALO ALTO, CA",8/13/2018
SAMSUNG SEMICONDUCTOR INC,MACHINE LEARNING ENGINEER,"130,000","SAN JOSE, CA",8/5/2018
LINC GLOBAL INC,MACHINE LEARNING ENGINEER,"130,000","SUNNYVALE, CA",8/20/2018
LINC GLOBAL INC,MACHINE LEARNING ENGINEER,"130,000","SUNNYVALE, CA",7/20/2018
BAIDU USA LLC,MACHINE LEARNING ENGINEER,"130,000","SUNNYVALE, CA",8/17/2017
SPOTIFY USA INC,MACHINE LEARNING ENGINEER,"130,000","NEW YORK, NY",9/3/2017
THREDUP INC,MACHINE LEARNING ENGINEER - RELEVANCE PLATFORM,"130,000","SAN FRANCISCO, CA",7/12/2017
APPLE INC,MACHINE LEARNING RESEARCH ENGINEER,"130,000","CUPERTINO, CA",9/13/2018
COGNITIVE SCALE INC,MACHINE LEARNING RESEARCH ENGINEER,"130,000","AUSTIN, TX",8/1/2017
COGNITIVE SCALE INC,MACHINE LEARNING RESEARCH ENGINEER TECH LEAD,"130,000","AUSTIN, TX",8/1/2017
USENS INC,MACHINE LEARNING RESEARCHER,"130,000","SAN JOSE, CA",5/30/2018
APPLE INC,MACHINE LEARNING RESEARCHER,"130,000","CUPERTINO, CA",1/1/2018
MYNTRA INC,MACHINE LEARNING SCIENTIST,"130,000","PALO ALTO, CA",5/26/2017
MICROSOFT CORPORATION,MACHINE LEARNING SCIENTIST,"130,000","SUNNYVALE, CA",6/12/2015
WAL-MART ASSOCIATES INC,DATA SCIENTIST,"129,979","SUNNYVALE, CA",9/27/2015
EXPEDIA INC,SENIOR DATA SCIENTIST,"129,764","BELLEVUE, WA",12/21/2015
MICROSOFT CORPORATION,MACHINE LEARNING SCIENTIST,"129,750","BELLEVUE, WA",9/30/2014
VITRIA TECHNOLOGY INC,DATA SCIENTIST,"129,605","MENLO PARK, CA",9/10/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,MACHINE LEARNING ENGINEER,"129,600","SANTA CLARA, CA",8/24/2018
ADOBE SYSTEMS INCORPORATED,MACHINE LEARNING ENGINEER,"129,600","SAN JOSE, CA",7/20/2015
MARCHEX INC,SENIOR DATA SCIENTIST 1,"129,581","SEATTLE, WA",10/1/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"129,579","BELLEVUE, WA",11/9/2018
ADOBE SYSTEMS INCORPORATED,SENIOR DATA SCIENTIST,"129,522","EMERYVILLE, CA",3/12/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"129,500","BELLEVUE, WA",5/2/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"129,500","REDMOND, WA",6/19/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"129,500","REDMOND, WA",10/12/2015
MICROSOFT CORPORATION,DATA SCIENTIST,"129,385","REDMOND, WA",11/30/2017
SYMANTEC CORPORATION,PRINCIPAL DATA SCIENTIST,"129,325","MOUNTAIN VIEW, CA",8/7/2015
MICROSOFT CORPORATION,DATA SCIENTIST,"129,300","REDMOND, WA",6/5/2017
ZILLOW INC,SENIOR DATA SCIENTIST,"129,300","SEATTLE, WA",10/17/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"129,243","BELLEVUE, WA",3/11/2014
LINKEDIN CORPORATION,DATA SCIENTIST,"129,210","SUNNYVALE, CA",9/10/2018
OATH HOLDINGS INC,SR. DATA SCIENTIST,"129,210","SUNNYVALE, CA",10/1/2018
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST,"129,210","SUNNYVALE, CA",9/3/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"129,112","REDMOND, WA",2/20/2019
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",2/14/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",6/1/2018
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",8/10/2018
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",2/12/2018
PINTEREST INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",7/30/2018
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",2/5/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",11/3/2017
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",2/26/2018
ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",9/24/2018
CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",9/15/2018
STITCH FIX INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",8/3/2018
PINTEREST INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",7/30/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",9/20/2017
SALESFORCECOM INC,"DATA SCIENTIST, PRICING INTELLIGENCE","129,106","SAN FRANCISCO, CA",12/11/2017
THE GAP INC,"DATA SCIENTIST, PRODUCT OPERATIONS ADVANCED ANALYTICS","129,106","SAN FRANCISCO, CA",9/1/2018
LENDINGCLUB CORPORATION,SENIOR DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",2/19/2018
SALESFORCECOM INC,SENIOR DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",8/28/2018
SALESFORCECOM INC,SENIOR DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",7/30/2018
SALESFORCECOM INC,LEAD DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",5/14/2018
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENTER,MACHINE LEARNING RESEARCHER,"129,100","SAN RAMON, CA",5/31/2016
EBAY INC,DATA SCIENTIST,"129,000","SAN JOSE, CA",10/1/2014
MICROSOFT CORPORATION,DATA SCIENTIST 2,"129,000","REDMOND, WA",9/15/2017
ADS ALLIANCE DATA SYSTEMS INC,SENIOR DATA SCIENTIST,"129,000","CHICAGO, IL",5/11/2018
PALO ALTO NETWORKS INC,DATA SCIENTIST,"128,750","SANTA CLARA, CA",7/18/2017
ORACLE AMERICA INC,DATA SCIENTIST,"128,536","SEATTLE, WA",8/6/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"128,500","CAMBRIDGE, MA",4/2/2017
FACEBOOK INC,"DATA SCIENTIST, ANALYTICS","128,434","SEATTLE, WA",10/1/2017
FUNGUANA INC,DATA SCIENTIST,"128,377","LONG BEACH, CA",9/20/2018
AUTOTRADERCOM INC,SENIOR DATA SCIENTIST,"128,125","IRVINE, CA",8/5/2018
COX AUTOMOTIVE CORPORATE SERVICES LLC,SENIOR DATA SCIENTIST,"128,125","IRVINE, CA",8/12/2018
MICRON SEMICONDUCTOR PRODUCTS INC,MLC/TLC NAND PRODUCT LINE MANAGER,"128,125","FOLSOM, CA",8/15/2017
MCAFEE LLC,DATA SCIENTIST,"128,000","SANTA CLARA, CA",10/1/2018
AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",7/25/2018
KABBAGE INC,DATA SCIENTIST,"128,000","NEW YORK, NY",9/3/2018
AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",7/25/2018
AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",8/1/2017
AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",8/1/2017
ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",9/1/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"128,000","CAMBRIDGE, MA",8/17/2015
PAYPAL INC,DATA SCIENTIST 1,"128,000","SAN JOSE, CA",7/26/2016
MICROSOFT CORPORATION,DATA SCIENTIST 2,"128,000","REDMOND, WA",10/3/2016
PLANGRID INC,DATA SCIENTIST,"127,900","SAN FRANCISCO, CA",8/15/2018
MEMORIAL SLOAN-KETTERING CANCER CENTER,"DATA SCIENTIST IV, ANALYTICS","127,898","NEW YORK, NY",5/22/2017
FRESH GRAVITY INC,DATA SCIENTIST,"127,816","ARLINGTON, VA",9/19/2018
APPLE INC,MACHINE LEARNING ENG 4,"127,746","AUSTIN, TX",8/20/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,600","CAMBRIDGE, MA",4/20/2017
ADROLL INC,DATA SCIENCE ENGINEER,"127,500","SAN FRANCISCO, CA",9/1/2017
OPENDOOR LABS INC,DATA SCIENCE LEAD,"127,500","SAN FRANCISCO, CA",6/15/2015
PINTEREST INC,DATA SCIENTIST,"127,500","SAN FRANCISCO, CA",2/5/2018
SPOTIFY USA INC,DATA SCIENTIST,"127,500","NEW YORK, NY",8/31/2018
PINTEREST INC,DATA SCIENTIST,"127,500","SAN FRANCISCO, CA",2/5/2018
WP COMPANY LLC,DATA SCIENTIST,"127,500","WASHINGTON, DC",12/1/2014
GENERAL ELECTRIC COMPANY,SENIOR DATA SCIENTIST,"127,500","SAN RAMON, CA",7/1/2015
CHARTBOOST INC,MACHINE LEARNING ENGINEER,"127,500","SAN FRANCISCO, CA",1/13/2017
AMAZONCOM SERVICES INC,DATA SCIENTIST II,"127,400","SEATTLE, WA",12/11/2018
TELENAV INC,DATA SCIENTIST,"127,254","SANTA CLARA, CA",6/1/2018
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"127,234","MOUNTAIN VIEW, CA",11/6/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"127,234","MOUNTAIN VIEW, CA",8/14/2017
INTUIT INC,SENIOR DATA SCIENTIST,"127,234","MOUNTAIN VIEW, CA",2/6/2018
INTUIT INC,SENIOR DATA SCIENTIST,"127,234","MOUNTAIN VIEW, CA",10/1/2017
TARGET ENTERPRISE INC,SR. DATA SCIENTIST,"127,234","SUNNYVALE, CA",7/31/2018
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST,"127,234","SUNNYVALE, CA",7/31/2018
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST - IMAGE/PRZ,"127,234","SUNNYVALE, CA",6/4/2018
PINTEREST INC,DATA SCIENTIST,"127,046","SAN FRANCISCO, CA",7/31/2017
BRIGHTEDGE TECHNOLOGIES INC,DATA SCIENTIST,"127,046","FOSTER CITY, CA",9/2/2017
PREMISE DATA CORPORATION,MACHINE LEARNING SCIENTIST,"127,046","SAN FRANCISCO, CA",9/15/2016
AELLA DATA INC,DATA SCIENTIST,"127,000","SANTA CLARA, CA",2/5/2018
QUANTIPLY CORPORATION,DATA SCIENTIST,"127,000","SAN JOSE, CA",9/6/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",3/16/2019
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",5/2/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",5/1/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","BELLEVUE, WA",5/23/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",7/10/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","SUNNYVALE, CA",8/7/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",9/1/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",8/31/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"127,000","REDMOND, WA",9/10/2017
ROBERT BOSCH LLC,DATA SCIENTIST,"127,000","PALO ALTO, CA",8/27/2015
VISIBLE WORLD INC,DATA SCIENTIST,"127,000","NEW YORK, NY",9/8/2015
SAP LABS LLC,SENIOR DATA SCIENTIST,"127,000","PALO ALTO, CA",8/30/2017
EVENTBRITE INC,SENIOR DATA SCIENTIST,"127,000","SAN FRANCISCO, CA",12/28/2016
PINTEREST INC,DATA SCIENTIST,"126,900","SAN FRANCISCO, CA",3/27/2015
MARCHEX INC,SENIOR DATA SCIENTIST 1,"126,668","SEATTLE, WA",9/15/2018
23ANDME INC,DATA SCIENTIST,"126,500","MOUNTAIN VIEW, CA",8/2/2018
NATIVEX HOLDINGS LLC,DATA SCIENTIST,"126,500","SAN FRANCISCO, CA",8/22/2015
ROKT CORPORATION,SENIOR DATA SCIENTIST,"126,500","NEW YORK, NY",9/28/2017
ROKT CORPORATION,SENIOR DATA SCIENTIST,"126,500","NEW YORK, NY",7/1/2017
THE NIELSEN COMPANY (US) LLC,SENIOR DATA SCIENTIST - OPTIMIZATION SERVICES,"126,360","CHICAGO, IL",5/31/2018
QUORA INC,DATA SCIENCE MANAGER,"126,298","MOUNTAIN VIEW, CA",8/22/2018
NETFLIX INC,DATA SCIENCE MANAGER,"126,298","LOS GATOS, CA",12/26/2017
QUORA INC,DATA SCIENCE MANAGER,"126,298","MOUNTAIN VIEW, CA",2/7/2018
NVIDIA CORPORATION,DATA SCIENTIST,"126,298","SANTA CLARA, CA",8/25/2018
DIGISIGHT TECHNOLOIGES INC,DATA SCIENTIST,"126,298","SAN FRANCISCO, CA",3/19/2018
NVIDIA CORPORATION,DATA SCIENTIST,"126,298","SANTA CLARA, CA",8/25/2018
DIGISIGHT TECHNOLOIGES INC,DATA SCIENTIST,"126,298","SAN FRANCISCO, CA",3/19/2018
PAYPAL INC,DATA SCIENTIST 2,"126,298","SAN JOSE, CA",6/26/2018
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"126,298","SUNNYVALE, CA",5/21/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",11/22/2017
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",11/6/2017
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",8/25/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",5/11/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",7/2/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"126,298","LOS GATOS, CA",11/16/2018
OATH HOLDINGS INC,SR DATA SCIENTIST,"126,298","SUNNYVALE, CA",8/14/2018
OATH HOLDINGS INC,SR DATA SCIENTIST,"126,298","SUNNYVALE, CA",8/14/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"126,275","REDMOND, WA",6/28/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"126,221","REDMOND, WA",5/1/2014
ZILLOW INC,DATA SCIENTIST,"126,100","SAN FRANCISCO, CA",8/31/2018
TIVO SOLUTIONS INC (F/K/A TIVO INC),DATA SCIENTIST,"126,027","BOSTON, MA",8/10/2018
SALESFORCECOM INC,DATA SCIENTIST MTS,"126,027","CAMBRIDGE, MA",2/19/2018
VIANT TECHNOLOGY LLC,PRINCIPAL DATA SCIENTIST,"126,027","WALTHAM, MA",9/1/2018
WAL-MART ASSOCIATES INC,DATA SCIENCE ENGINEER,"126,000","BRISBANE, CA",1/27/2014
VECTRA NETWORKS,DATA SCIENTIST,"126,000","SAN JOSE, CA",9/1/2018
MANTHAN SYSTEMS INC,DATA SCIENTIST,"126,000","SAN JOSE, CA",8/3/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"126,000","REDMOND, WA",5/18/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"126,000","REDMOND, WA",5/29/2017
FACEBOOK INC,DATA SCIENTIST,"126,000","MENLO PARK, CA",2/1/2016
GOOGLE INC,DATA SCIENTIST,"126,000","MOUNTAIN VIEW, CA",10/5/2015
INTUIT INC,DATA SCIENTIST,"126,000","MOUNTAIN VIEW, CA",10/1/2014
PAYPAL INC,DATA SCIENTIST 1,"126,000","SAN JOSE, CA",10/6/2014
CHEGG INC,SENIOR DATA SCIENTIST,"126,000","SANTA CLARA, CA",8/4/2018
VERDIGRIS TECHNOLOGIES INC,MACHINE LEARNING ENGINEER,"126,000","MOUNTAIN VIEW, CA",9/12/2018
FACEBOOK INC,DATA SCIENTIST,"125,571","MENLO PARK, CA",9/8/2014
BOSE CORPORATION,MACHINE LEARNING ENGINEER III,"125,507","FRAMINGHAM, MA",6/20/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"125,500","REDMOND, WA",12/6/2017
MICROSOFT CORPORATION,DATA SCIENTIST 2,"125,500","REDMOND, WA",3/5/2018
MICROSOFT CORPORATION,DATA SCIENTIST 2,"125,500","REDMOND, WA",2/5/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"125,310","REDMOND, WA",7/28/2018
CLOUDWICK TECHNOLOGIES INC,DATA SCIENTIST,"125,112","NEWARK, CA",12/31/2018
