Employer,Title,Salary,Location,Start Date
AETNA RESOURCES LLC,PRINCIPAL DATA SCIENTIST,"200,000","HARTFORD, CT",9/17/2018
WAL-MART ASSOCIATES INC,PRINCIPAL DATA SCIENTIST,"200,000","SUNNYVALE, CA",10/22/2015
APPLE INC,MACHINE LEARNING ENG,"200,000","CUPERTINO, CA",7/21/2017
APPLE INC,MACHINE LEARNING ENG,"200,000","CUPERTINO, CA",8/20/2017
SOTHEBY'S INC,MACHINE LEARNING ENGINEER,"200,000","NEW YORK, NY",9/19/2018
APPLE INC,MACHINE LEARNING MGR,"200,000","CUPERTINO, CA",1/9/2017
ADOBE SYSTEMS INCORPORATED,MACHINE LEARNING SCIENTIST,"200,000","SAN JOSE, CA",7/12/2018
OPENTABLE INC,SENIOR DATA SCIENTIST,"199,000","SAN FRANCISCO, CA",5/15/2017
ORACLE AMERICA INC,DATA SCIENTIST DIRECTOR,"198,953","REDWOOD SHORES, CA",7/3/2017
APPLE INC,MACHINE LEARNING RESEARCH ENGINEER,"198,000","SEATTLE, WA",9/3/2018
FACEBOOK INC,DATA SCIENCE MANAGER,"195,000","MENLO PARK, CA",9/18/2017
TASTEMADE INC,DATA SCIENTIST,"195,000","SANTA MONICA, CA",10/1/2016
EBAY INC,DATA SCIENTIST 3,"195,000","BELLEVUE, WA",11/30/2015
CREDIT KARMA INC,SENIOR DATA SCIENTIST,"195,000","SAN FRANCISCO, CA",7/9/2018
CREDIT KARMA INC,MACHINE LEARNING (SOFTWARE) ENGINEER,"195,000","SAN FRANCISCO, CA",9/10/2018
AIRBNB INC,DATA SCIENCE MANAGER,"193,970","SAN FRANCISCO, CA",3/23/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,SENIOR DATA SCIENTIST,"193,848","MOUNTAIN VIEW, CA",4/16/2018
JDCOM AMERICAN TECHNOLOGIES CORPORATION,SENIOR DATA SCIENTIST,"192,000","MOUNTAIN VIEW, CA",5/1/2018
STAPLES INC,SR. DATA SCIENTIST INV,"191,600","SAN JOSE, CA",6/12/2017
FACEBOOK INC,"DATA SCIENCE MANAGER, ANALYTICS","190,000","MENLO PARK, CA",7/3/2017
CITADEL AMERICAS LLC,DATA SCIENTIST,"190,000","CHICAGO, IL",9/6/2018
DATAROBOT INC,DATA SCIENTIST,"190,000","BOSTON, MA",3/5/2018
AIRBNB INC,DATA SCIENTIST,"190,000","SAN FRANCISCO, CA",3/12/2018
AIRBNB INC,DATA SCIENTIST,"190,000","SAN FRANCISCO, CA",7/31/2017
NORRIS SERVICES LLC,SENIOR DATA SCIENTIST,"190,000","SANTA MONICA, CA",3/19/2018
CREDIT KARMA INC,SENIOR DATA SCIENTIST,"190,000","SAN FRANCISCO, CA",4/16/2018
